title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
The Witch with the Comb [Die Hexe mit dem Kamm],https://marble.nd.edu/item/2015.040,Paul Klee Swiss 1879 1940,1922,Prints,,"Lithograph on medium weight, cream, japan wove paper",12 1/4 x 9 in. (31.12 x 22.7 cm),Walter R. Beardsley Endowment for Contemporary Art,Public domain,1922,,
Self-Portrait with Hand on Forehead [Selbstbildnis mit der Hand an der Stirn],https://marble.nd.edu/item/2015.003.001,Kthe Kollwitz German 1867 1945,1910,Prints,,"Etching in brown ink on smooth, beige wove paper",17 3/4 x 12 3/8 in. (44.96 x 31.5 cm),Walter R. Beardsley Endowment for Contemporary Art,Public domain,1910,,
Serpent and the Bear King,https://marble.nd.edu/item/2015.055.005.001,Neal Ambrose Smith Salish and Kootenai Nation b 1966,2014,Prints,"North America, United States",Monotype,30 x 22 in. (76.2 x 55.88 cm),Humana Foundation Endowment,Copyright,2014,North America,United States
Ballerina,https://marble.nd.edu/item/2016.018,Margrethe Mather American 1885 1952,1917,Photographs,"North America, United States",Gelatin silver print,4 5/8 x 6 1/8 in. (11.9 x 15.7 cm),Humana Foundation Endowment,Copyright,1917,North America,United States
"The Water Organ at the Villa d'Este, Tivoli",https://marble.nd.edu/item/2017.007,Isral Silvestre French 1621 1691,1640-1691,Drawings,"Europe, France","Black chalk, pen, and brown wash on laid paper",8 3/4 x 12 3/4 in. (22.23 x 32.39 cm),"John D. Reilly, ND '63, '64 Endowment for Excellence",Public domain,1665,Europe,France
"MICHAEL JORDAN, CHICAGO, ILL.",https://marble.nd.edu/item/2016.048.021,Walter Iooss American b 1943,1998,Photographs,,Archival pigment print,in. (cm),"Gift of Douglas Wetmore, ND ’79",Copyright,1998,,
Prestige Cloth Skirt,https://marble.nd.edu/item/2017.025.1001,Unrecorded Kuba artist,mid-20th century,Apparel and Adornments,"Africa, Democratic Republic of the Congo","Raffia palm fiber cloth and thread, plant dyes, ditto paper ink",26 1/2 x 51 3/4 in. (67.31 x 131.45 cm),Bequest of Owen D. Mort Jr,Public domain,1950,Africa,Congo
Scratch Mare,https://marble.nd.edu/item/2019.001.004,Jack B Yeats Irish 1871 1957,1927,Paintings,"Europe, Ireland",Oil on panel,10 x 15 in. (25.4 x 38.1 cm),Gift of the Donald and Marilyn Keough Foundation,Copyright,1927,Europe,Ireland
Stone Bead Strand (in Box with Other Beads and Necklaces),https://marble.nd.edu/item/2017.025.262.008,Unrecorded Native North American artist,,Jewelry,North America,Stone beads,22 1/2 in. (57.15 cm),Bequest of Owen D. Mort Jr,Public domain,,North America,
"Saint Francis Consoled by the Musical Angel, after Francesco Vanni",https://marble.nd.edu/item/2018.071.001,Agostino Carracci Italian 1557 1602 After Francesco Vanni Italian 1563 1610,1595,Prints,"Europe, Italy",Engraving on laid paper,12 3/8 x 9 5/8 in. (31.3 x 24.4 cm),Fritz and Mildred Kaeser Endowment for Liturgical Art,Public domain,1595,Europe,Italy
Saint Joseph with the Christ Child,https://marble.nd.edu/item/2018.066.003,Paul Troger Austrian 1698 1762,ca. 1720,Prints,"Europe, Austria",Etching on laid paper,6 3/8 x 5 in. (16.19 x 12.7 cm),Fritz and Mildred Kaeser Endowment for Liturgical Art,Public domain,1720,Europe,Austria
The Black Heart,https://marble.nd.edu/item/2019.016.108,Jim Dine American b 1935,1984,Prints,,Lithograph,50 3/4 x 35 5/8 in. (128.91 x 90.49 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1984,,
[ ] from Winter Dream (For V) Portfolio,https://marble.nd.edu/item/2019.016.247.009,Jim Dine American b 1935,1995,Prints,,Woodcut on recycled grey blotter paper,67 1/4 x 51 1/4 in. (170.82 x 130.18 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1995,,
"Alpha, Omega",https://marble.nd.edu/item/2019.016.199,Jim Dine American b 1935,2000,Prints,,"Etching, soft ground etching, spit-bite aquatint, dry point, and power tool drypoint on Guarro White",44 3/8 x 30 in. (112.71 x 76.2 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2000,,
Lidded Basket,https://marble.nd.edu/item/2019.017.011,Margaret Hill Mille Lacs Band of Ojibwe 1928 2009,ca. 1995,Basketry,North America,Birchbark and string,3 1/2 x 4 7/8 x 4 7/8 in. (8.89 x 12.38 x 12.38 cm),Gift of Jerry Cooper,Copyright,1995,North America,
Beaded Flat Bag,https://marble.nd.edu/item/2019.017.055,Margaret Hill Mille Lacs Band of Ojibwe 1928 2009,,Apparel and Adornments,,"Leather, beads",in. (cm),Gift of Jerry Cooper,Copyright,,,
Pipebag,https://marble.nd.edu/item/2019.017.058,Unrecorded Sioux artist,,Apparel and Adornments,,"Beads, leather",in. (cm),Gift of Jerry Cooper,Public domain,,,
Mocassins,https://marble.nd.edu/item/2019.017.047,,,Apparel and Adornments,,Leather beadwork,in. (cm),Gift of Jerry Cooper,Public domain,,,
Mocassins,https://marble.nd.edu/item/2019.017.045,Unrecorded Cheyenne artist,,Apparel and Adornments,,Leather beadwork,in. (cm),Gift of Jerry Cooper,Public domain,,,
Plate 3 from Eight Studies and Compositions of Flowers [Huit études et compositions de fleurs],https://marble.nd.edu/item/2019.022.001.003,Jules Ferdinand Jacquemart French 1837 1880,1862,Prints,"Europe, France",Etching on laid paper,20 3/4 x 14 3/8 in. (52.71 x 36.51 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1862,Europe,France
Book,https://marble.nd.edu/item/2019.028.014,Aaron Fink American,1998,Prints,,Monotype,30 x 44 1/4 in. (76.2 x 112.4 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1998,,
San Francisco,https://marble.nd.edu/item/2019.018.034,Henry Bill American Thomas S Sinclair American ca 1805 1881,1852,Prints,"San Francisco, North America, United States, San Francisco, California",Color lithograph on wove paper,11 5/8 x 18 1/4 in. (29.53 x 46.36 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1852,North America,United States
"Madrone Bark, Santa Cruz Mountains, California, from Presidential Portfolio",https://marble.nd.edu/item/1986.052.007.001,Ansel Adams American 1902 1984,"1932, printed 1980",Photographs,,Photolithograph,18 1/8 x 13 in. (45.9 x 33 cm),Gift of James W. and Marilynn B. Alsdorf,Copyright,1932,,
Notre Dame,https://marble.nd.edu/item/2024.008.025,Hippolyte Petitjean French 1854 1929,1895,Paintings,"Europe, France",Oil on canvas,21 3/4 x 28 in. (55.25 x 71.12 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,1895,Europe,France
Kneeling Angels,https://marble.nd.edu/item/1961.047.009,Bernardino Lanino Italian ca 1509 after 1581 Formerly attributed to Gaudenzio Ferrari Italian ca1470 1546,1515-1583,Paintings,"Europe, Italy",Oil on panel,20 3/4 x 42 x 3 in. (52.71 x 106.68 x 7.62 cm),Gift of the Samuel H. Kress Foundation,Public domain,1549,Europe,Italy
Pair of Glyph Pendants,https://marble.nd.edu/item/1991.062.B,Unrecorded Maya artist,600-900,Jewelry,"North America, Central America, Guatemala or Mexico",Shell and cinnabar,3/4 x 1 x 1/8 in. (1.91 x 2.54 x 0.32 cm),"Gift of Gary E., ND ’70 and Judy Doran",Public domain,750,North America,Guatemala
Young Sculptor at Work [Jeune Sculpteur au Travail] from the Vollard Suite [Suite Vollard],https://marble.nd.edu/item/2004.036.002,Pablo Picasso Spanish 1881 1973,1933,Prints,,Etching on Montval laid paper,10 1/2 x 7 5/8 in. (26.67 x 19.37 cm),Walter R. Beardsley Endowment for Contemporary Art,Copyright,1933,,
Historias Paralelas (Right Panel),https://marble.nd.edu/item/2013.008.001,Luis Gonzlez Palma Guatemalan 1957 Segura Art Studio South Bend Indiana,1998,Photographs,,"Photolithograph over gold leaf on cream wove paper, with film images on Mylar (BoPET)",24 x 24 in. (61 x 61 cm),Walter R. Beardsley Endowment for Contemporary Art,Copyright,1998,,
Enamel Ewer,https://marble.nd.edu/item/2020.004,Svres Porcelain Manufactory French active 1756 present Jacob MeyerHeine French 1805 1879,1849,Decorative Arts,"Europe, France, Île-de-France","Enamel, embellished with turquoise and gilt copper mount",24 3/8 x 10 x 8 in. (61.91 x 25.4 x 20.32 cm),Virginia A. Marten Endowment for Decorative Arts,Public domain,1849,Europe,France
"Title, Plate 1 from Various Facial Types: Part One [Fisonomie Possibli: Parte Prima]",https://marble.nd.edu/item/2020.003.001,Benigno Bossi Italian 1727 1792,1775 - 1776,Prints,"Europe, Italy",Etching on laid paper,19 3/4 x 13 1/4 in. (50.17 x 33.66 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1775,Europe,Italy
Moses Chandler,https://marble.nd.edu/item/2020.005.002,Goodridge Brothers American active 1847 1922 Wallace L Goodridge American 1840 1922 William O Goodridge American 1846 1890,ca. 1870,Photographs,,Tintype,20 x 15 in. (50.8 x 38.1 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1870,,
Four Chances,https://marble.nd.edu/item/2021.013.033,Kenneth Snelson American 1927 2016,1979,Sculpture,"New York City, North America, United States, New York, New York",Aluminum and stainless steel,34 3/4 x 42 x 30 1/4 in. (88.27 x 106.68 x 76.84 cm),Gift of the Estate of Kenneth Snelson on behalf of Katherine and Andrea Snelson,Copyright,1979,North America,United States
U. S. Mail Steamship Baltic,https://marble.nd.edu/item/2022.004.019,Nathaniel Currier American 1813 1888,1850,Prints,"North America, United States, New York",Hand-colored lithograph on medium-weight wove paper,18 1/4 x 25 1/4 in. (46.36 x 64.14 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1850,North America,United States
"Osaka '24""",https://marble.nd.edu/item/2021.013.023,Kenneth Snelson American 1927 2016,1969,Sculpture,,Aluminum and stainless steel cable,23 3/4 x 14 1/2 x 15 in. (60.33 x 36.83 x 38.1 cm),Gift of the Estate of Kenneth Snelson on behalf of Katherine and Andrea Snelson,Copyright,1969,,
John Caldwell Calhoun from Portrait Gallery of Distinguished American Citizens,https://marble.nd.edu/item/2022.004.032.005,William Henry Brown American 1844 1886,1845-1846,Prints,"North America, United States, Connecticut",Lithograph on wove paper,16 1/2 x 12 1/2 in. (41.91 x 31.75 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1845,North America,United States
"Untitled, from Notations in Passing",https://marble.nd.edu/item/2022.015.001,Nathan Lyons American 1930 2016,1962-1971,Photographs,"North America, United States",Gelatin silver print,4 1/2 x 6 3/4 in. (11.5 x 17.2 cm),Gift of Dr. George Violin,Copyright,1966,North America,United States
Chango,https://marble.nd.edu/item/2022.024.001,Francisco Toledo Mexican 1940 2019,2004,,,Drypoint intaglio,21 x 12 in. (53.34 x 30.48 cm),"Gift of Corey Robinson, ND '17",Copyright,2004,,
"Head of the Cardinal from The Chapel of the Cardinal of Portugal 1434 - 1459, at San Miniato in Florence",https://marble.nd.edu/item/2022.027.015,Clarence Kennedy American 1892 1972,1933,Photographs,,Gelatin silver print,13 1/4 x 19 1/4 in. (33.7 x 48.9 cm),Transfer from the Smith College Museum of Art of the Gift of Mrs. Edwin H. Laud,Copyright,1933,,
"Peri on Route 64, outside Lexington, Kentucky, from the series Stranded",https://marble.nd.edu/item/2023.001.088,Amy Stein American b 1970,2006,Photographs,,Digital pigment print,30 x 40 in. (76.2 x 101.6 cm),Gift of the Joe Baio Collection of Photography,Copyright,2006,,
Columbia Gem of the Ocean,https://marble.nd.edu/item/2021.009.019,Currier Ives American active 1834 1907 Lyman Wetmore Atwater American 1835 1895 Charles R Parsons American 1844 1918,ca. 1877,Prints,"North America, United States, New York",Hand-colored lithograph on wove paper,30 x 40 in. (76.2 x 101.6 cm),Gift of the Joe Baio Collection of Photography,Public domain,1877,North America,United States
Harvest Moon,https://marble.nd.edu/item/2022.026.001,Brenda Besito Saugeen First Nation Ojibwe b 1957,ca. 2000,Basketry,North America,"Porcupine quillwork, bark, grass",,Gift of Charlotte Mittler,Copyright,2000,North America,
First Kindergarten in Moscow,https://marble.nd.edu/item/2023.001.076,Arkady Shaikhet Russian 1898 1957,1928,Photographs,,Gelatin silver print,11 1/2 x 8 1/4 in. (29.2 x 21 cm),Gift of the Joe Baio Collection of Photography,Copyright,1928,,
"Orphange, Odessa",https://marble.nd.edu/item/2023.001.093,Joseph Sywenkyi Ukrainian b 1978,2001,Photographs,,Chromogenic print,24 x 20 in. (61 x 50.8 cm),Gift of the Joe Baio Collection of Photography,Copyright,2001,,
Bungee Baby,https://marble.nd.edu/item/2023.001.015,Denise Davis American b 1959 Scott Courdlandt Davis American b 1954,1996,Photographs,,Chromogenic print,23 5/8 x 20 in. (60.1 x 50.8 cm),Gift of the Joe Baio Collection of Photography,Copyright,1996,,
Petit garçon au caillou,https://marble.nd.edu/item/2023.001.013,Gabriel Cuallad Spanish 1925 2003,1980,Photographs,,Gelatin silver print,10 1/4 x 8 1/8 in. (26 x 20.5 cm),Gift of the Joe Baio Collection of Photography,Copyright,1980,,
"Boy on Iron Fence, Bedford-Stuyvesant, Brooklyn",https://marble.nd.edu/item/2023.001.031,N Jay Jaffee American 1921 1999,1948,Photographs,,Gelatin silver print,9 1/4 x 7 1/4 in. (23.5 x 18.4 cm),Gift of the Joe Baio Collection of Photography,Copyright,1948,,
Untitled (Assenede),https://marble.nd.edu/item/2023.029.010,Jacques Sonck Belgian b 1949,"1988, printed 2015",Photographs,,Gelatin silver print,16 x 12 in. (40.7 x 30.5 cm),Gift of the Joe Baio Collection of Photography,Copyright,1988,,
"Man with a Herd of Swine, Evening [Troupeau de porcs, le soir]",https://marble.nd.edu/item/2022.022.017,Charlesmile Jacque French 1813 1894,1864-1870,Prints,"Europe, France",Etching and drypoint on laid paper,6 x 10 in. (15.24 x 25.4 cm),Alexander Platt Collection of Prints and Drawings,Public domain,1867,Europe,France
"A Road Accident near New Inn, County Laois",https://marble.nd.edu/item/2024.001.021,Father Francis Browne SJ Irish 1880 1960,21-Mar-32,Photographs,,Gelatin silver print,10 1/2 x 15 3/4 in. (26.8 x 40.1 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1932,,
"Sand Cart on Coominoole Strand, Dunquin, County Kerry",https://marble.nd.edu/item/2024.001.022,Father Francis Browne SJ Irish 1880 1960,12-Aug-32,Photographs,,Gelatin silver print,15 3/4 x 10 in. (40 x 25.4 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1932,,
"Travellers, County Donegal",https://marble.nd.edu/item/2024.001.013,Father Francis Browne SJ Irish 1880 1960,1929,Photographs,,Gelatin silver print,10 x 15 5/8 in. (25.3 x 39.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1929,,
Grand National Whig Banner,https://marble.nd.edu/item/2023.004.018,Nathaniel Currier American 1813 1888,1844,Prints,"North America, United States, New York",Color lithograph on wove paper,14 x 10 in. (35.56 x 25.4 cm),"Gift of Mary W., ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1844,North America,United States
"Claddagh Fashions, Claddagh, County Galway",https://marble.nd.edu/item/2024.001.007,Father Francis Browne SJ Irish 1880 1960,1925,Photographs,,Gelatin silver print,10 1/8 x 15 5/8 in. (25.8 x 39.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1925,,
"Waiting on the Platform at Cork Station, County Cork",https://marble.nd.edu/item/2024.001.036,Father Francis Browne SJ Irish 1880 1960,1933,Photographs,,Gelatin silver print,15 5/8 x 11 3/8 in. (39.7 x 28.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1933,,
"Washing Day, Athlunkard Street, Limerick, County Limerick",https://marble.nd.edu/item/2024.001.025,Father Francis Browne SJ Irish 1880 1960,30-Mar-33,Photographs,,Gelatin silver print,11 3/8 x 15 3/4 in. (29 x 39.9 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1933,,
"Jesuit Novices Ice Skating, Emo Court, County Laois",https://marble.nd.edu/item/2024.001.033,Father Francis Browne SJ Irish 1880 1960,23-Dec-35,Photographs,,Gelatin silver print,10 1/4 x 15 3/4 in. (25.9 x 40 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1935,,
"Robert Browne, Bishop of Cloyne with his nephews Father William Browne, and Major Francis Browne, Dublin",https://marble.nd.edu/item/2024.001.086,Lafayette Photography Studios Dublin Irish active founded 1880 Formerly attributed to Father Francis Browne SJ Irish 1880 1960,1916,Photographs,,Gelatin silver print,10 1/2 x 15 5/8 in. (26.8 x 39.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1916,,
Friday's,https://marble.nd.edu/item/2024.003.004,Auudi Dorsey,2021,Paintings,,Acrylic on canvas,47 7/8 x 48 x 1 1/2 in. (121.6 x 121.92 x 3.81 cm),Gift of the Kulick Family,Copyright,2021,,
What's Free,https://marble.nd.edu/item/2024.003.006,Auudi Dorsey,2021,Paintings,,Acrylic on canvas,48 x 48 x 1 1/2 in. (121.92 x 121.92 x 3.81 cm),Gift of the Kulick Family,Copyright,2021,,
"Kavanagh's Cottage, Annaghdown, County Galway",https://marble.nd.edu/item/2024.001.075,Father Francis Browne SJ Irish 1880 1960,23-Nov-42,Photographs,,Gelatin silver print,15 7/8 x 24 in. (40.2 x 61.1 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1942,,
The Holy Family with Saint John the Baptist,https://marble.nd.edu/item/2024.016.001,Annibale Carracci Italian 1560 1609,1590,Prints,"Europe, Italy",Etching on laid paper,6 1/2 x 8 3/4 in. (16.51 x 22.23 cm),Michael and Jeannie O'Neill Fund,Public domain,1590,Europe,Italy
The Geese of Brother Philippe (Les oies du Frère Philippe),https://marble.nd.edu/item/2024.008.017,Nicolas Antoine Taunay French 1755 1830,n.d,Paintings,"Europe, France",Oil on canvas,13 x 21 5/8 in. (33 x 55 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,,Europe,France
Buffalo Horn Spoon,https://marble.nd.edu/item/AA1899.024.j,Unrecorded Cheyenne artist,ca. 1875,"Tools, Implements, and Weights","North America, United States",Buffalo horn,6 1/2 x 1 7/8 x 1 5/8 in. (16.51 x 4.76 x 4.13 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1875,North America,United States
"Little Family on a Journey, Manulla Junction, County Mayo",https://marble.nd.edu/item/2024.001.063,Father Francis Browne SJ Irish 1880 1960,1941,Photographs,,Gelatin silver print,15 5/8 x 10 1/8 in. (39.8 x 25.6 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1941,,
Vessel with Strap Handles,https://marble.nd.edu/item/AA1995.046.008,Unrecorded Eastern Woodland Native American artist,15th century,Vessels,"North America, United States, Northeastern United States",Shell-tempered earthenware,4 1/2 x 5 1/4 in. (11.43 x 13.34 cm),Gift of Rev. Urban Hasque,Public domain,1450,North America,United States
Young Girl’s Dress,https://marble.nd.edu/item/AA1899.002,Ameche aka Elk Woman American ca 1857 1890,1879-1881,Apparel and Adornments,North America,"Deerskin, glass beads, sinew",44 x 56 in. (111.76 x 142.24 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1880,North America,
Paul Hamilton Baseball,https://marble.nd.edu/item/EX1998.067.002,,1920-1930,"Tools, Implements, and Weights",North America,"Cork core with leather exterior, cotton thread stiching",,,Copyright,1925,North America,
A Commedia dell'Arte Scene,https://marble.nd.edu/item/2024.008.007,Nicolas Lancret French 1690 1743,18th century,Paintings,"Europe, France",Oil on canvas,15 5/8 x 12 1/2 in. (39.69 x 31.75 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,1750,Europe,France
Buffalo Horn,https://marble.nd.edu/item/AA1899.024.h,Unrecorded Sioux artist,ca. 1885,"Tools, Implements, and Weights",North America,Buffalo horn,10 1/2 x 1 7/8 x 1 5/8 in. (26.67 x 4.76 x 4.13 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1885,North America,
Lizard Effigy Amulet,https://marble.nd.edu/item/AA1899.009,Unrecorded Cheyenne artist,ca. 1875,Apparel and Adornments,"North America, United States","Leather and glass bead, sinew",5 x 3 in. (12.7 x 7.62 cm),"University Collection, by transfer",Public domain,1875,North America,United States
Standing Male Figurine,https://marble.nd.edu/item/L2000.033.003,Unrecorded Colima artist,300 BCE-250 CE,Figurines,North America,Slipped and resist-fired ceramic,14 3/4 x 6 1/2 x 1 7/8 in. (37.47 x 16.51 x 4.8 cm),Lent by William Rodriguez,Copyright,-275,North America,
Vessel with Tribute Scene,https://marble.nd.edu/item/L1999.066,Unrecorded Maya artist,600-900,Vessels,"North America, Central America, Gautemala or Mexico",Slipped and painted ceramic,6 1/2 x 6 x 6 1/8 in. (16.51 x 15.24 x 15.56 cm),Lent by William Rodriguez,Copyright,750,North America,Mexico
Cylindrical Vessel with Vision Serpent,https://marble.nd.edu/item/L1997.040.001,Unrecorded Maya artist,600-900,Vessels,"North America, Central America, Guatemala or Mexico",Black ceramic,4 7/8 x 4 1/8 x 4 1/4 in. (12.38 x 10.49 x 10.64 cm),Lent by William Rodriguez,Copyright,750,North America,Guatemala
"A Black Rider, from the series of Eleven Black, Polish, and Hungarian Riders",https://marble.nd.edu/item/2021.021,Stefano Della Bella Italian 1610 1664,1648,Prints,"Europe, France","Etching on thin, laid paper",7 x 7 in. (17.78 x 17.78 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1648,Europe,France
Girl and Dog,https://marble.nd.edu/item/2016.009,George H Seeley American 1880 1955,1904,Photographs,"North America, United States",Platinum print,9 1/4 x 7 5/8 in. (23.4 x 19.4 cm),Humana Foundation Endowment,Public domain,1904,North America,United States
The Matrix Effect VI,https://marble.nd.edu/item/2023.001.037,Christian Jankowski German b 1968,2000,Photographs,,Chromogenic print,18 1/2 x 23 1/2 in. (47 x 59.7 cm),Gift of the Joe Baio Collection of Photography,Copyright,2000,,
Jamaican Women,https://marble.nd.edu/item/2010.011.013.006,Emilio Snchez Cuban 1921 1999,1956,Prints,,Black and white lithograph on paper,13 3/4 x 10 1/2 in. (34.93 x 26.67 cm),Gift of the Emilio Sanchez Foundation,Copyright,1956,,
Driven Woman,https://marble.nd.edu/item/2009.007.032,Leopoldo Mndez Mexican 1902 1968,1937-1965,Prints,,Linocut on paper,13 x 19 3/4 in. (33.02 x 50.17 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1951,,
La Peva,https://marble.nd.edu/item/2009.007.026,Leopoldo Mndez Mexican 1902 1968,1937-1965,Prints,,Linocut on paper,9 1/2 x 15 in. (24.13 x 38.1 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1951,,
That Which Must Not Come [Lo Que No Puede Venir],https://marble.nd.edu/item/2009.007.022,Leopoldo Mndez Mexican 1902 1968,1945,Prints,,Woodcut,13 7/8 x 9 1/2 in. (35.24 x 24.13 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1945,,
Sister Juana Ines,https://marble.nd.edu/item/2009.007.019,Leopoldo Mndez Mexican 1902 1968,1937-1965,Prints,,Linocut on paper,13 x 9 1/4 in. (33.02 x 23.5 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1951,,
Pietà,https://marble.nd.edu/item/2005.053,Annibale Carracci Italian 1560 1609,1597,Prints,"Europe, Italy","Etching, engraving and drypoint on laid paper",4 7/8 x 6 3/8 in. (12.38 x 16.19 cm),Bequest of Mary Frances Mulholland Fund,Public domain,1597,Europe,Italy
Wisdom/Knowledge from Survival,https://marble.nd.edu/item/2008.044.002,Jaune QuicktoSee Smith SalishKootenai MtisCree Shoshone 1940 2025,1996,Prints,,Lithograph on Arches paper with Okawara chine collé,36 x 25 in. (91.44 x 63.5 cm),Humana Foundation Endowment,Copyright,1996,,
Workers of Honolulu,https://marble.nd.edu/item/2009.007.042,Pablo OHiggins American 1904 1983,1937-1965,Prints,,Lithograph on paper,19 1/2 x 26 in. (49.53 x 66.04 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1951,,
Ships at Sea,https://marble.nd.edu/item/2009.045.026,Eugne Isabey French 1803 1886,1818-1886,Drawings,,Black chalk with white heightening on blue paper,10 3/4 x 5 3/4 in. (27.31 x 14.61 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1852,,
Studies for a Battle Scene (recto),https://marble.nd.edu/item/2009.045.022.A,Otto von Faber du Faur German 1828 1901,1843-1901,drawings,,graphite on wove paper,,The Muriel S. and Noah L. Butkin Collection,Public domain,1872,,
Portrait of a Man with a Fur Collar,https://marble.nd.edu/item/2009.045.040,Johann David Gruson German 1780 1848,ca. 1811,Paintings,Europe,Oil on canvas,26 3/8 x 21 3/8 in. (66.99 x 54.29 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1811,Europe,
"Study for ""Young Girls Praying"" [La prière des petites filles]",https://marble.nd.edu/item/2009.045.087,Thodule Ribot French 1823 1891,1861,Paintings,"Europe, France",Oil on canvas,25 x 21 1/2 in. (63.5 x 54.61 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1861,Europe,France
Figures Fleeing a Catastrophe (The Sack of a Church?),https://marble.nd.edu/item/2009.045.070,JeanBaptiste Carpeaux French 1827 1875,1842-1875,Paintings,,Oil on paper mounted to board,16 5/8 x 12 1/2 in. (42.23 x 31.75 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1858,,
Portrait of Alphonse Daudet,https://marble.nd.edu/item/2009.045.107,Eugne Carrire French 1849 1906,1880,Paintings,"Europe, France",Oil on canvas,15 1/8 x 18 1/4 in. (38.43 x 46.36 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1880,Europe,France
Kneeling Woman Playing with a Cat,https://marble.nd.edu/item/2009.045.144,Julien Plissonier French active 19th century,19th century,Sculpture,,Terracotta,6 1/2 x 3 5/8 x 3 7/8 in. (16.51 x 9.05 x 9.84 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1850,,
La Marseillaise,https://marble.nd.edu/item/2009.045.099,Ary Scheffer Dutch 1795 1858,1827,Paintings,,Oil and ink on canvas,12 x 14 x 1 1/2 in. (30.48 x 35.56 x 3.81 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1827,,
View of the Seine with Le Pont des Saints-Pères,https://marble.nd.edu/item/2009.045.115,Antoine Vollon French 1833 1900,ca. 1888-1889,Paintings,"Europe, France",Oil on canvas,34 3/4 x 41 in. (88.27 x 104.14 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1888,Europe,France
Two Women in Antique Dress,https://marble.nd.edu/item/2009.045.151,French,19th century,Sculpture,Europe,Terracotta,14 x 6 x 5 in. (35.56 x 15.24 x 12.7 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1850,Europe,
"Tire, Salton Sea",https://marble.nd.edu/item/2009.047.039,Richard Misrach American b 1949,1983,Photographs,,Chromogenic color print,20 x 24 in. (50.8 x 60.96 cm),"Gift of Dr. William McGraw, ND ’65",Copyright,1983,,
Carlo’s Shack,https://marble.nd.edu/item/2010.011.010.004,Emilio Snchez Cuban 1921 1999,1975,Prints,,Black and white lithograph on paper,23 x 18 in. (58.42 x 45.72 cm),Gift of the Emilio Sanchez Foundation,Copyright,1975,,
"Untitled, Vista al Mar",https://marble.nd.edu/item/2010.011.011.017,Emilio Snchez Cuban 1921 1999,ca. 1990,Prints,,Color lithograph on paper,30 3/4 x 20 in. (78.11 x 50.8 cm),Gift of the Emilio Sanchez Foundation,Copyright,1990,,
Crosstown Traffic,https://marble.nd.edu/item/2010.011.012.015,Emilio Snchez Cuban 1921 1999,ca. 1987-1988,Prints,,Color lithograph on paper,10 x 22 in. (25.4 x 55.88 cm),Gift of the Emilio Sanchez Foundation,Copyright,1987,,
